รหัส,ชื่อหมู่บ้าน,หมู่,ชื่อตำบล,ชื่ออำเภอ,จังหวัด,ประชากร
30010201,หนองปรือ,1,โพธิ์กลาง,เมืองนครราชสีมา,นครราชสีมา,3236
30010202,หนองไผ่,2,โพธิ์กลาง,เมืองนครราชสีมา,นครราชสีมา,2641
30010203,หนองพลวงน้อย,3,โพธิ์กลาง,เมืองนครราชสีมา,นครราชสีมา,1367
30010204,หนองพลวงมะนาว,4,โพธิ์กลาง,เมืองนครราชสีมา,นครราชสีมา,2240
30010205,หนองพุดซา,5,โพธิ์กลาง,เมืองนครราชสีมา,นครราชสีมา,1390
30010207,บึงแสนสุข,7,โพธิ์กลาง,เมืองนครราชสีมา,นครราชสีมา,1301
30010208,ศรีสมบูรณ์,8,โพธิ์กลาง,เมืองนครราชสีมา,นครราชสีมา,1961
30010209,ค่ายสุรธรรมพิทักษ์,9,โพธิ์กลาง,เมืองนครราชสีมา,นครราชสีมา,6742
30010210,หนองไผ่พัฒนา,10,โพธิ์กลาง,เมืองนครราชสีมา,นครราชสีมา,2143
30010211,หนองพลวงพัฒนา,11,โพธิ์กลาง,เมืองนครราชสีมา,นครราชสีมา,1828
30010301,ต่างตา,1,หนองจะบก,เมืองนครราชสีมา,นครราชสีมา,606
30010302,กรีน,2,หนองจะบก,เมืองนครราชสีมา,นครราชสีมา,617
30010303,ถนนหัก,3,หนองจะบก,เมืองนครราชสีมา,นครราชสีมา,1490
30010304,หนองปรู,4,หนองจะบก,เมืองนครราชสีมา,นครราชสีมา,3364
30010305,บุญเรือง,5,หนองจะบก,เมืองนครราชสีมา,นครราชสีมา,4662
30010401,โคกสูง,1,โคกสูง,เมืองนครราชสีมา,นครราชสีมา,1326
30010402,หนองโพธิ์,2,โคกสูง,เมืองนครราชสีมา,นครราชสีมา,625
30010403,ส่องใต้,3,โคกสูง,เมืองนครราชสีมา,นครราชสีมา,798
30010404,ระงม,4,โคกสูง,เมืองนครราชสีมา,นครราชสีมา,886
30010405,หัวสระ,5,โคกสูง,เมืองนครราชสีมา,นครราชสีมา,714
30010406,ระงมพัฒนา,6,โคกสูง,เมืองนครราชสีมา,นครราชสีมา,671
30010407,มะม่วงพัฒนา,7,โคกสูง,เมืองนครราชสีมา,นครราชสีมา,416
30010408,ส่องเหนือ,8,โคกสูง,เมืองนครราชสีมา,นครราชสีมา,672
30010409,ลำเชิงไกร,9,โคกสูง,เมืองนครราชสีมา,นครราชสีมา,839
30010410,สำคัญ,10,โคกสูง,เมืองนครราชสีมา,นครราชสีมา,1364
30010411,หนองกระชาย,11,โคกสูง,เมืองนครราชสีมา,นครราชสีมา,1139
30010501,หัวช้าง,1,มะเริง,เมืองนครราชสีมา,นครราชสีมา,218
30010502,ใหม่,2,มะเริง,เมืองนครราชสีมา,นครราชสีมา,1074
30010503,สารภี,3,มะเริง,เมืองนครราชสีมา,นครราชสีมา,1082
30010504,พระ,4,มะเริง,เมืองนครราชสีมา,นครราชสีมา,1038
30010505,บึงสาร,5,มะเริง,เมืองนครราชสีมา,นครราชสีมา,766
30010506,พระ,6,มะเริง,เมืองนครราชสีมา,นครราชสีมา,900
30010507,โคก,7,มะเริง,เมืองนครราชสีมา,นครราชสีมา,391
30010508,กระทอน,8,มะเริง,เมืองนครราชสีมา,นครราชสีมา,766
30010509,เคียงบึง,9,มะเริง,เมืองนครราชสีมา,นครราชสีมา,642
30010601,ยองแยง,1,หนองระเวียง,เมืองนครราชสีมา,นครราชสีมา,458
30010602,หนองไทร,2,หนองระเวียง,เมืองนครราชสีมา,นครราชสีมา,420
30010603,หนองม่วง,3,หนองระเวียง,เมืองนครราชสีมา,นครราชสีมา,763
30010604,หนองขาม,4,หนองระเวียง,เมืองนครราชสีมา,นครราชสีมา,458
30010605,ทับช้าง,5,หนองระเวียง,เมืองนครราชสีมา,นครราชสีมา,668
30010606,ทับช้าง,6,หนองระเวียง,เมืองนครราชสีมา,นครราชสีมา,1627
30010607,มะค่า,7,หนองระเวียง,เมืองนครราชสีมา,นครราชสีมา,974
30010608,ชะอม,8,หนองระเวียง,เมืองนครราชสีมา,นครราชสีมา,481
30010609,ชะอม,9,หนองระเวียง,เมืองนครราชสีมา,นครราชสีมา,893
30010610,โตนด,10,หนองระเวียง,เมืองนครราชสีมา,นครราชสีมา,464
30010611,โตนด,11,หนองระเวียง,เมืองนครราชสีมา,นครราชสีมา,869
